fold,accuracy,precision,recall,f1,best_params,model,dataset
11,0.775,0.7549019607843137,0.9746835443037974,0.850828729281768,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,Raw
12,0.675,0.7,0.8860759493670886,0.7821229050279329,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 200}",Random Forest,Raw
13,0.7583333333333333,0.7551020408163265,0.9367088607594937,0.8361581920903954,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,Raw
14,0.6833333333333333,0.6880733944954128,0.9493670886075949,0.7978723404255319,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,Raw
15,0.675,0.6923076923076923,0.9113924050632911,0.7868852459016393,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,Raw
1,0.7083333333333334,0.7340425531914894,0.8734177215189873,0.7976878612716763,{'classifier__C': 0.1},Logistic Regression,OntoBK
2,0.6666666666666666,0.7052631578947368,0.8481012658227848,0.7701149425287356,{'classifier__C': 0.1},Logistic Regression,OntoBK
3,0.675,0.6923076923076923,0.9113924050632911,0.7868852459016393,{'classifier__C': 0.1},Logistic Regression,OntoBK
4,0.775,0.776595744680851,0.9240506329113924,0.8439306358381503,{'classifier__C': 0.1},Logistic Regression,OntoBK
5,0.7666666666666667,0.7628865979381443,0.9367088607594937,0.8409090909090909,{'classifier__C': 0.1},Logistic Regression,OntoBK
6,0.7166666666666667,0.7272727272727273,0.9113924050632911,0.8089887640449438,{'classifier__C': 0.1},Logistic Regression,OntoBK
7,0.7416666666666667,0.7608695652173914,0.8860759493670886,0.8187134502923976,{'classifier__C': 0.1},Logistic Regression,OntoBK
8,0.7416666666666667,0.7608695652173914,0.8860759493670886,0.8187134502923976,{'classifier__C': 0.1},Logistic Regression,OntoBK
9,0.725,0.73,0.9240506329113924,0.8156424581005587,{'classifier__C': 0.1},Logistic Regression,OntoBK
10,0.7,0.7216494845360825,0.8860759493670886,0.7954545454545454,{'classifier__C': 10.0},Logistic Regression,OntoBK
11,0.75,0.7474747474747475,0.9367088607594937,0.8314606741573034,{'classifier__C': 0.1},Logistic Regression,OntoBK
12,0.7,0.7171717171717171,0.8987341772151899,0.797752808988764,{'classifier__C': 0.1},Logistic Regression,OntoBK
13,0.8083333333333333,0.8255813953488372,0.8987341772151899,0.8606060606060606,{'classifier__C': 0.1},Logistic Regression,OntoBK
14,0.7,0.7128712871287128,0.9113924050632911,0.8,{'classifier__C': 1.0},Logistic Regression,OntoBK
15,0.6583333333333333,0.6979166666666666,0.8481012658227848,0.7657142857142857,{'classifier__C': 0.1},Logistic Regression,OntoBK
1,0.725,0.7346938775510204,0.9113924050632911,0.8135593220338984,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,OntoBK
2,0.6166666666666667,0.6633663366336634,0.8481012658227848,0.7444444444444445,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,OntoBK
3,0.6833333333333333,0.6952380952380952,0.9240506329113924,0.7934782608695652,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,OntoBK
4,0.75,0.7378640776699029,0.9620253164556962,0.8351648351648352,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 200}",Random Forest,OntoBK
5,0.7166666666666667,0.7064220183486238,0.9746835443037974,0.8191489361702128,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,OntoBK
6,0.725,0.7169811320754716,0.9620253164556962,0.8216216216216217,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,OntoBK
7,0.7083333333333334,0.7244897959183674,0.8987341772151899,0.8022598870056498,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,OntoBK
8,0.7333333333333333,0.7281553398058253,0.9493670886075949,0.8241758241758241,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,OntoBK
9,0.7333333333333333,0.7281553398058253,0.9493670886075949,0.8241758241758241,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,OntoBK
10,0.675,0.6886792452830188,0.9240506329113924,0.7891891891891892,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,OntoBK
11,0.775,0.7549019607843137,0.9746835443037974,0.850828729281768,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,OntoBK
12,0.675,0.7,0.8860759493670886,0.7821229050279329,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,OntoBK
13,0.7583333333333333,0.7551020408163265,0.9367088607594937,0.8361581920903954,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,OntoBK
14,0.6833333333333333,0.6880733944954128,0.9493670886075949,0.7978723404255319,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,OntoBK
15,0.675,0.6923076923076923,0.9113924050632911,0.7868852459016393,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,OntoBK
